BaseForm,PastTense,PastParticiple,Chinese
be,was/were,been,是
beat,beat,beaten,打敗/打
become,became,become,變成
begin,began,begun,開始
bend,bent,bent,彎曲
bite,bit,bitten,咬
blow,blew,blown,吹
break,broke,broken,打破/壞掉/斷了
bring,brought,brought,帶來
build,built,built,建造/蓋
buy,bought,bought,買
can,could,—,能/會/行/可以
catch,caught,caught,接/補捉/搭乘
choose,chose,chosen,選擇
come,came,come,來
cost,cost,cost,價錢為.../使付出...
cut,cut,cut,切/剪
dig,dug,dug,挖
do,did,done,做
draw,drew,drawn,(用筆)畫
drink,drank,drunk,喝
drive,drove,driven,駕駛
eat,ate,eaten,吃
fall,fell,fallen,掉落/跌倒/摔倒
feed,fed,fed,餵
feel,felt,felt,覺得/摸起來
fight,fought,fought,打架/吵架
find,found,found,找到/發覺/撿到
fit,fit,fit,適合
fly,flew,flown,飛
forget,forgot,forgotten,忘記
forgive,forgave,forgiven,原諒
freeze,froze,frozen,結冰
get,got,gotten,拿/得到/變得/收到
give,gave,given,給
go,went,gone,去/走
grow,grew,grown,成長/種植
hang,hung,hung,吊/掛
have,had,had,有
hear,heard,heard,聽到
hide,hid,hidden,躲/藏
hit,hit,hit,打/擊
hold,held,held,抱/握住/拿著
hurt,hurt,hurt,傷害/傷到
keep,kept,kept,保持/保留/繼續
know,knew,known,知道/認識
lay,laid,laid,放著/孵(蛋)
lead,led,led,帶領
leave,left,left,離開/留下(東西)
lend,lent,lent,借出
let,let,let,讓/允許
lie,lay,lain,躺下
light,lit,lit,點亮/點火
lose,lost,lost,遺失/輸
make,made,made,做/讓/使
mean,meant,meant,...的意思是
meet,met,met,見面/認識（第一次）
pay,paid,paid,付
put,put,put,放
quit,quit,quit,放棄/停止
read,read,read,讀
ride,rode,ridden,騎/坐/搭
ring,rang,rung,響
rise,rose,risen,上升
run,ran,run,跑/經營
say,said,said,說
see,saw,seen,看到
sell,sold,sold,賣
send,sent,sent,送/寄
set,set,set,設定/放下
shake,shook,shaken,搖
shoot,shot,shot,發射
shrink,shrank,shrunk,縮小
shut,shut,shut,關閉
sing,sang,sung,唱歌
sit,sat,sat,坐
sleep,slept,slept,睡覺
slide,slid,slid,滑
speak,spoke,spoken,說
spend,spent,spent,花費
spread,spread,spread,散開/抹(果醬)
stand,stood,stood,站
steal,stole,stolen,偷
stick,stuck,stuck,粘/貼
strike,struck,struck,打/攻擊
swear,swore,sworn,發誓/說髒話
sweep,swept,swept,掃地
swim,swam,swum,游泳
take,took,taken,拿走/帶走
teach,taught,taught,教
tear,tore,torn,撕裂
tell,told,told,告訴/說
think,thought,thought,想/認為
throw,threw,thrown,丟/投
understand,understood,understood,了解/懂/明白
wake,woke,woken,醒來/叫醒
wear,wore,worn,穿/戴
win,won,won,贏/中獎
wind,wound,wound,轉/繞
write,wrote,written,寫
